iter	Passed	Remaining
472	687	766
473	688	763
474	689	761
475	690	759
476	690	757
477	691	755
478	692	753
479	693	751
480	694	749
481	695	746
482	695	744
483	697	743
484	698	741
485	699	739
486	699	737
487	700	735
488	701	733
489	702	730
490	703	728
491	703	726
492	704	724
493	705	722
494	706	720
495	707	718
496	708	716
497	708	714
498	709	712
499	710	710
500	711	708
501	712	706
502	713	704
503	714	702
504	715	700
505	715	698
506	716	696
507	717	694
508	718	692
509	719	690
510	719	688
511	720	686
512	721	685
513	722	683
514	723	681
515	724	679
516	725	677
517	726	676
518	727	674
519	728	672
520	729	670
521	729	668
522	730	666
523	731	664
524	732	662
525	733	660
526	733	658
527	734	656
528	735	654
529	736	653
530	737	651
531	738	649
532	739	647
533	740	646
534	741	644
535	742	642
536	743	640
537	744	639
538	745	637
539	745	635
540	746	633
541	747	631
542	748	629
543	748	627
544	749	626
545	750	624
546	751	622
547	752	620
548	753	618
549	754	617
550	754	615
551	755	613
552	756	611
553	757	609
554	758	607
555	759	606
556	759	604
557	760	602
558	761	600
559	762	599
560	763	597
561	764	595
562	764	593
563	765	591
564	766	590
565	767	588
566	768	586
567	769	585
568	770	583
569	771	582
570	772	580
571	773	578
572	774	576
573	774	575
574	775	573
575	776	571
576	777	569
577	778	568
578	779	566
579	779	564
580	780	563
581	781	561
582	782	559
583	783	558
584	784	556
585	785	554
586	785	553
587	786	551
588	787	549
589	788	547
590	789	546
591	790	544
592	790	542
593	791	541
594	792	539
595	793	537
596	794	536
597	795	534
598	795	532
599	796	531
600	797	529
601	798	527
602	799	526
603	800	524
604	800	522
605	801	521
606	802	519
607	803	518
608	804	516
609	805	514
610	806	513
611	807	511
612	807	510
613	808	508
614	809	506
615	810	505
616	811	503
617	811	501
618	812	500
619	813	498
620	814	497
621	815	495
622	816	493
623	817	492
624	817	490
625	818	489
626	819	487
627	820	485
628	821	484
629	821	482
630	822	481
631	823	479
632	824	477
633	825	476
634	826	474
635	827	473
636	827	471
637	828	470
638	829	468
639	830	467
640	831	465
641	832	463
642	832	462
643	833	460
644	834	459
645	835	457
646	836	456
647	837	454
648	838	453
649	838	451
650	839	450
651	840	448
652	841	447
653	842	445
654	843	444
655	844	442
656	844	441
657	845	439
658	846	438
659	847	436
660	848	435
661	849	433
662	849	432
663	850	430
664	851	429
665	852	427
666	853	426
667	854	424
668	855	423
669	855	421
670	856	420
671	857	418
672	858	417
673	859	415
674	860	414
675	861	412
676	861	411
677	862	409
678	863	408
679	864	406
680	865	405
681	866	403
682	867	402
683	868	401
684	869	399
685	869	398
686	870	396
687	871	395
688	872	393
689	873	392
690	873	390
691	874	389
692	875	387
693	876	386
694	877	384
695	878	383
696	878	382
697	879	380
698	880	379
699	881	377
700	882	376
701	883	374
702	883	373
703	884	372
704	885	370
705	886	369
706	887	367
707	888	366
708	889	364
709	889	363
710	890	362
711	891	360
712	892	359
713	893	357
714	894	356
715	895	355
716	895	353
717	896	352
718	898	350
719	899	349
720	899	348
721	900	346
722	901	345
723	902	343
724	902	342
725	903	341
726	904	339
727	905	338
728	906	336
729	907	335
730	907	334
731	908	332
732	909	331
733	910	329
734	911	328
735	912	327
736	912	325
737	913	324
738	914	323
739	915	321
740	916	320
741	917	318
742	918	317
743	918	316
744	919	314
745	920	313
746	921	312
747	922	310
748	923	309
749	923	307
750	924	306
751	925	305
752	926	303
753	927	302
754	928	301
755	929	299
756	929	298
757	930	297
758	931	295
759	932	294
760	933	293
761	934	291
762	935	290
763	935	289
764	936	287
765	937	286
766	938	285
767	939	283
768	940	282
769	941	281
770	942	279
771	943	278
772	943	277
773	944	275
774	945	274
775	946	273
776	947	271
777	948	270
778	949	269
779	950	267
780	950	266
781	951	265
782	952	264
783	953	262
784	954	261
785	955	260
786	956	258
787	957	257
788	958	256
789	958	254
790	959	253
791	960	252
792	961	251
793	962	249
794	963	248
795	964	247
796	965	245
797	966	244
798	967	243
799	968	242
800	969	240
801	970	239
802	971	238
803	971	236
804	972	235
805	973	234
806	974	233
807	975	231
808	976	230
809	977	229
810	978	228
811	979	226
812	980	225
813	981	224
814	982	222
815	983	221
816	984	220
817	985	219
818	986	217
819	987	216
820	987	215
821	988	214
822	989	212
823	990	211
824	991	210
825	992	209
826	993	207
827	995	206
828	996	205
829	998	204
830	1000	203
831	1003	202
832	1005	201
833	1007	200
834	1008	199
835	1010	198
836	1012	197
837	1013	195
838	1014	194
839	1016	193
840	1018	192
841	1020	191
842	1021	190
843	1022	189
844	1023	187
845	1025	186
846	1026	185
847	1027	184
848	1029	183
849	1030	181
850	1032	180
851	1034	179
852	1035	178
853	1036	177
854	1036	175
855	1037	174
856	1038	173
857	1039	172
858	1040	170
859	1041	169
860	1042	168
861	1043	167
862	1044	165
863	1045	164
864	1046	163
865	1048	162
866	1049	160
867	1049	159
868	1050	158
869	1052	157
870	1052	155
871	1053	154
872	1054	153
873	1055	152
874	1056	150
875	1057	149
876	1058	148
877	1059	147
878	1060	145
879	1062	144
880	1063	143
881	1064	142
882	1064	141
883	1065	139
884	1066	138
885	1067	137
886	1068	136
887	1069	134
888	1070	133
889	1072	132
890	1073	131
891	1074	130
892	1074	128
893	1075	127
894	1077	126
895	1078	125
896	1079	123
897	1079	122
898	1080	121
899	1081	120
900	1082	118
901	1083	117
902	1083	116
903	1084	115
904	1085	113
905	1086	112
906	1087	111
907	1088	110
908	1089	109
909	1089	107
910	1090	106
911	1092	105
912	1093	104
913	1094	102
914	1094	101
915	1095	100
916	1096	99
917	1097	98
918	1098	96
919	1098	95
920	1099	94
921	1100	93
922	1101	91
923	1102	90
924	1103	89
925	1104	88
926	1105	87
927	1106	85
928	1107	84
929	1108	83
930	1109	82
931	1110	81
932	1111	79
933	1111	78
934	1112	77
935	1113	76
936	1114	74
937	1115	73
938	1116	72
939	1116	71
940	1117	70
941	1118	68
942	1119	67
943	1120	66
944	1121	65
945	1122	64
946	1123	62
947	1124	61
948	1125	60
949	1125	59
950	1126	58
951	1127	56
952	1128	55
953	1129	54
954	1130	53
955	1131	52
956	1132	50
957	1133	49
958	1134	48
959	1135	47
960	1136	46
961	1138	44
